                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6185,                 3.1068,                 1.3288,                0.97939,                0.31017,                0.66985,                0.43372,                 1.1259,                 2.6542,                 1.0032,                 0.0748,                 0.0028,                 0.0028
                      1,                 1.2647,                 1.4501,                 1.0965,                      1,                0.45756,                0.87777,                0.58633,                 1.0952,                 2.2331,                0.99677,               0.048587,              0.0055871,              0.0055871
                      2,                 1.2174,                 1.1692,                 1.0903,                      1,                0.65663,                0.98087,                0.66147,                 1.1498,                 1.5202,                0.96226,               0.022259,              0.0082594,              0.0082594
                      3,                  1.167,                 1.0979,                 1.0567,                 0.9799,                0.93025,                  0.968,                 0.6008,                 1.3232,                 1.2072,                 1.0938,               0.009406,               0.009406,               0.009406
                      4,                 1.1379,                 1.0292,                 1.0506,                0.96915,                0.94667,                0.97751,                0.71434,                0.99729,                0.89301,                0.96383,               0.009406,               0.009406,               0.009406
                      5,                  1.028,                0.93595,                 1.0142,                0.98922,                0.96952,                0.99115,                0.76958,                0.86635,                0.71519,                0.93539,               0.009208,               0.009208,               0.009208
                      6,                 1.0348,                0.88064,                 1.0158,                      1,                 0.9717,                0.99184,                0.73485,                0.94819,                0.65528,                0.98821,                0.00901,                0.00901,                0.00901
                      7,                0.96659,                0.83202,                0.99826,                 0.9898,                0.98667,                0.99065,                0.74866,                0.93753,                0.65083,                0.96442,               0.008812,               0.008812,               0.008812
                      8,                0.92415,                0.77559,                0.98276,                0.96082,                0.99018,                0.99106,                0.78578,                0.80567,                0.57309,                0.90379,               0.008614,               0.008614,               0.008614
                      9,                 0.9063,                0.75645,                0.96818,                0.96524,                      1,                0.99235,                0.80819,                0.73983,                 0.5483,                0.89225,               0.008416,               0.008416,               0.008416
                     10,                0.85726,                0.70699,                0.94994,                0.97516,                0.98967,                0.99372,                0.79348,                0.73306,                0.53899,                 0.9023,               0.008218,               0.008218,               0.008218
                     11,                0.84045,                0.71556,                0.95494,                0.97181,                0.99167,                0.98976,                0.81521,                0.74689,                0.52021,                0.89629,                0.00802,                0.00802,                0.00802
                     12,                 0.8095,                0.67091,                 0.9442,                0.97807,                0.99675,                0.99484,                0.80444,                0.71751,                0.53124,                0.89628,               0.007822,               0.007822,               0.007822
                     13,                0.80649,                 0.6899,                 0.9468,                0.98246,                0.99167,                0.99436,                0.81866,                0.71565,                0.49675,                0.88653,               0.007624,               0.007624,               0.007624
                     14,                0.77694,                0.64267,                0.93364,                0.99911,                 0.9749,                0.99415,                0.81481,                0.66007,                0.47231,                0.86723,               0.007426,               0.007426,               0.007426
                     15,                0.75789,                0.61622,                0.92401,                0.98084,                0.99167,                 0.9933,                0.83701,                0.63781,                0.46246,                0.86529,               0.007228,               0.007228,               0.007228
                     16,                 0.7494,                   0.61,                 0.9244,                0.98437,                0.99167,                0.99403,                0.82736,                0.67335,                0.44198,                0.86314,                0.00703,                0.00703,                0.00703
                     17,                0.74036,                0.61847,                0.92108,                0.97496,                0.99167,                0.99172,                0.81581,                0.73452,                0.48125,                0.88646,               0.006832,               0.006832,               0.006832
                     18,                0.72624,                0.59827,                0.91576,                0.97677,                      1,                0.99367,                0.83928,                0.62111,                0.44174,                0.85418,               0.006634,               0.006634,               0.006634
                     19,                0.69809,                0.57478,                0.91778,                 0.9898,                 0.9888,                0.99418,                 0.8596,                0.53927,                 0.4113,                0.82738,               0.006436,               0.006436,               0.006436
                     20,                0.68436,                0.58268,                0.90495,                 0.9658,                0.99934,                 0.9932,                0.86179,                0.63003,                0.42489,                0.85753,               0.006238,               0.006238,               0.006238
                     21,                0.65799,                 0.5448,                0.89982,                0.99147,                0.97308,                0.99365,                0.78222,                0.76008,                 0.4536,                0.90079,                0.00604,                0.00604,                0.00604
                     22,                0.66017,                  0.525,                0.89555,                0.99029,                 0.9738,                0.99272,                0.83317,                0.64647,                0.40946,                0.86238,               0.005842,               0.005842,               0.005842
                     23,                0.63871,                0.52807,                0.89601,                0.96961,                0.98333,                0.98968,                0.84294,                0.59715,                0.41632,                 0.8472,               0.005644,               0.005644,               0.005644
                     24,                0.63654,                0.53937,                0.89439,                0.97464,                0.98537,                0.99005,                0.86966,                0.51463,                0.38143,                0.82717,               0.005446,               0.005446,               0.005446
                     25,                 0.6137,                0.50455,                0.88733,                0.96598,                0.98942,                0.98864,                0.87305,                 0.4906,                0.37186,                0.82125,               0.005248,               0.005248,               0.005248
                     26,                0.60341,                0.49935,                0.88436,                 0.9816,                0.99017,                0.99212,                0.88285,                0.48988,                0.36066,                0.82599,                0.00505,                0.00505,                0.00505
                     27,                0.60276,                0.48345,                0.88709,                0.98993,                0.99919,                0.99475,                0.87568,                0.54207,                 0.3478,                0.83715,               0.004852,               0.004852,               0.004852
